context,dg,group,uniq.group,subject,social.interactions,frequency
Reunion,DG2,F,DG2_F,2,Aggressive,0
Reunion,DG2,F,DG2_F,3,Aggressive,0
Reunion,DG2,F,DG2_F,4,Aggressive,0.134138162
Reunion,DG2,F,DG2_F,5,Aggressive,0.066837474
Reunion,DG2,F,DG2_F,6,Aggressive,0
Reunion,DG2,F,DG2_F,7,Aggressive,0
Reunion,DG2,F,DG2_F,8,Aggressive,0
Reunion,DG2,F,DG2_F,9,Aggressive,0.134108181
Reunion,DG2,W,DG2_W,1,Aggressive,0
Reunion,DG2,W,DG2_W,2,Aggressive,0
Reunion,DG2,W,DG2_W,3,Aggressive,0
Reunion,DG2,W,DG2_W,4,Aggressive,0
Reunion,DG2,W,DG2_W,5,Aggressive,0
Reunion,DG2,W,DG2_W,8,Aggressive,0.066837474
Reunion,DG2,W,DG2_W,9,Aggressive,0.071564885
Reunion,DG3,F,DG3_F,1,Aggressive,0
Reunion,DG3,F,DG3_F,2,Aggressive,0
Reunion,DG3,F,DG3_F,3,Aggressive,0
Reunion,DG3,F,DG3_F,4,Aggressive,0
Reunion,DG3,F,DG3_F,6,Aggressive,0
Reunion,DG3,F,DG3_F,7,Aggressive,0.06662965
Reunion,DG3,F,DG3_F,8,Aggressive,0.133437118
Reunion,DG3,F,DG3_F,9,Aggressive,0
Reunion,DG3,F,DG3_F,10,Aggressive,0
Reunion,DG3,W,DG3_W,1,Aggressive,0
Reunion,DG3,W,DG3_W,2,Aggressive,0
Reunion,DG3,W,DG3_W,3,Aggressive,0
Reunion,DG3,W,DG3_W,4,Aggressive,0
Reunion,DG3,W,DG3_W,5,Aggressive,0.066674075
Reunion,DG3,W,DG3_W,6,Aggressive,0
Reunion,DG3,W,DG3_W,7,Aggressive,0
Reunion,DG3,W,DG3_W,8,Aggressive,0
Reunion,DG3,W,DG3_W,9,Aggressive,0.068298236
Reunion,DG3,W,DG3_W,10,Aggressive,0
Reunion,DG4,F,DG4_F,1,Aggressive,0
Reunion,DG4,F,DG4_F,2,Aggressive,0
Reunion,DG4,F,DG4_F,3,Aggressive,0
Reunion,DG4,F,DG4_F,4,Aggressive,0.0667334
Reunion,DG4,F,DG4_F,5,Aggressive,0
Reunion,DG4,F,DG4_F,6,Aggressive,0
Reunion,DG4,F,DG4_F,7,Aggressive,0.066651855
Reunion,DG4,F,DG4_F,8,Aggressive,0
Reunion,DG4,F,DG4_F,9,Aggressive,0.066718559
Reunion,DG4,F,DG4_F,10,Aggressive,0.066777963
Reunion,DG4,W,DG4_W,1,Aggressive,0
Reunion,DG4,W,DG4_W,2,Aggressive,0
Reunion,DG4,W,DG4_W,3,Aggressive,0
Reunion,DG4,W,DG4_W,4,Aggressive,0
Reunion,DG4,W,DG4_W,5,Aggressive,0
Reunion,DG4,W,DG4_W,6,Aggressive,0
Reunion,DG4,W,DG4_W,7,Aggressive,0
Reunion,DG4,W,DG4_W,8,Aggressive,0
